0,0,0.03125,0.03125,34,1,3.2,0,1358,899
1,1,3.0,32.0,169,37,4.3,0,8468,6999
2,2,0.0625,0.0625,119,11,3.4,0,809,669
2,3,0.0625,0.0625,54,2,3.4,0,845,699
3,4,4.0,128.0,36457,2831,4.6,0,1950,53999
3,4,4.0,64.0,36457,2831,4.6,0,54900,46999
3,4,4.0,64.0,36457,2831,4.6,0,789,46999
3,5,4.0,128.0,1894,169,4.7,0,769,84900
3,6,3.0,64.0,27442,2853,4.5,0,37900,34999
3,7,2.0,64.0,12954,1298,4.5,0,47800,45999
3,7,2.0,32.0,12954,1298,4.5,0,42500,40999
3,7,2.0,64.0,93164,7966,4.5,0,39900,29999
3,7,2.0,64.0,93164,7966,4.5,0,39900,29999
3,8,3.0,128.0,14480,1414,4.2,0,1119,43999
3,8,3.0,32.0,11572,975,4.6,0,52500,46999
3,8,3.0,64.0,77597,6641,4.6,0,47900,38999
3,4,4.0,128.0,9760,961,4.2,1,20990,53999
3,4,4.0,64.0,36305,2815,4.6,1,54900,46999
3,5,4.0,128.0,1891,169,4.7,1,47900,84900
3,5,4.0,256.0,1894,169,4.7,1,9999,94900
3,5,4.0,256.0,1891,169,4.7,1,114829,94900
3,5,4.0,64.0,1891,169,4.7,1,34999,79900
3,7,2.0,128.0,93231,7967,4.5,1,42348,34999
3,7,2.0,128.0,93231,7967,4.5,1,39900,34999
3,7,2.0,256.0,93231,7967,4.5,1,54448,44999
3,7,2.0,64.0,93231,7967,4.5,1,36298,29999
3,7,2.0,64.0,12954,1298,4.5,1,42500,40999
3,8,3.0,64.0,11572,975,4.6,1,57800,52999
3,8,3.0,128.0,77544,6632,4.6,1,8999,43999
3,8,3.0,64.0,11572,975,4.6,1,52500,46999
3,4,4.0,128.0,36457,2831,4.3,2,65338,53999
3,4,4.0,64.0,36457,2831,4.6,2,54900,46999
3,7,2.0,128.0,12954,1298,4.5,2,42500,40999
3,7,2.0,64.0,93164,7966,4.5,2,2790,29999
3,8,3.0,64.0,11572,975,4.6,2,52500,46999
3,5,4.0,128.0,1894,169,4.7,3,990,84900
3,9,4.0,512.0,551,44,4.6,3,20999,159900
3,8,3.0,128.0,11572,975,4.6,3,52500,46999
3,8,3.0,64.0,11572,975,4.6,3,52500,46999
3,4,4.0,64.0,36457,2831,4.6,4,54900,46999
3,10,4.0,64.0,6992,514,4.6,4,1049,79999
3,5,4.0,128.0,1892,169,4.5,4,102729,84900
3,8,3.0,64.0,77597,6641,4.6,5,47188,38999
3,8,3.0,64.0,77544,6632,4.6,5,1198,38999
3,4,4.0,128.0,36305,2815,4.6,7,1499,53999
3,4,4.0,64.0,36457,2831,4.6,7,54900,46999
3,4,4.0,64.0,2784,194,4.0,10,9999,46999
3,11,4.0,128.0,514,40,4.5,11,10257,119900
4,12,0.0625,0.03125,168,8,3.8,0,779,1899
4,13,0.0234375,0.0234375,122,10,3.9,0,2055,1699
5,14,0.009765625,0.009765625,1494,115,3.9,0,849,779
5,14,0.009765625,0.009765625,1494,115,3.9,0,849,779
5,14,0.009765625,0.009765625,1494,115,3.9,0,849,779
5,15,0.03125,0.03125,3692,261,4.0,0,679,1470
5,15,0.03125,0.03125,3686,261,4.0,0,1778,1470
5,15,0.03125,0.03125,3686,261,4.0,0,1778,1470
5,15,0.03125,0.03125,3692,261,4.0,0,1778,1470
5,15,0.03125,0.03125,3692,261,4.0,0,1778,1470
5,15,0.0625,0.0625,466,44,3.8,0,1778,1470
5,16,0.0625,0.0625,66,13,3.2,0,19999,619
5,17,0.0625,0.0625,392,22,4.3,0,29999,1350
5,17,0.0625,0.0625,168,8,3.8,0,35999,1350
5,18,0.03125,0.03125,35,3,4.3,0,18699,1029
5,18,0.03125,0.03125,35,3,4.3,0,2499,1029
5,19,0.009765625,0.009765625,707,58,3.8,0,20999,599
5,20,0.0625,0.0625,187,14,4.0,0,34990,849
5,20,0.0625,0.0625,188,14,4.0,0,13999,849
5,20,0.0625,0.0625,187,14,4.0,0,789,849
5,20,0.0625,0.0625,188,14,4.0,0,1027,849
6,21,4.0,64.0,192,11,3.4,11,1187,6499
7,22,0.03125,0.03125,7580,739,3.6,0,775,765
7,22,0.03125,0.03125,7580,739,3.6,0,919,760
8,23,0.03125,0.03125,80,10,4.1,0,3265,2699
9,24,0.03125,0.03125,104,10,3.8,0,1049,699
9,25,0.03125,0.03125,115,21,4.0,0,1329,1099
9,26,0.03125,0.03125,10354,1644,3.6,0,47900,740
9,26,0.03125,0.03125,10354,1644,3.6,0,17999,539
9,27,0.01171875,0.014648438,159,20,3.9,0,966,799
10,28,0.03125,0.03125,3,0,3.7,0,21990,1349
10,28,0.03125,0.03125,3,0,3.7,0,19990,1349
10,28,0.03125,0.03125,3,0,3.7,0,18298,1349
10,28,0.03125,0.03125,3,0,3.7,0,8999,1349
11,29,0.03125,0.03125,209,18,3.7,0,1099,659
11,29,0.03125,0.03125,209,18,3.7,0,1299,645
11,29,0.03125,0.03125,50,2,3.7,0,26405,1379
11,29,0.03125,0.03125,50,2,3.7,0,29999,1259
11,30,0.03125,0.03125,31000,2519,4.4,0,797,659
11,30,0.03125,0.03125,914,77,3.8,0,16200,659
11,30,0.03125,0.03125,43145,5224,4.5,0,1520,1257
11,30,0.03125,0.03125,313,30,3.7,0,1523,1259
11,30,0.03125,0.03125,313,30,3.7,0,1523,1259
11,30,0.03125,0.03125,313,30,3.7,0,1499,1239
11,31,0.03125,0.03125,20,9,4.0,0,906,749
11,31,0.03125,0.03125,22,9,3.8,0,906,749
11,32,0.03125,0.03125,23474,1899,4.4,0,999,749
11,33,0.03125,0.0625,363,28,3.7,0,778,643
11,34,0.03125,0.03125,329,18,3.8,0,1149,1139
11,35,0.03125,0.03125,3080,393,3.5,0,5999,650
11,36,0.03125,0.03125,2540,338,3.7,0,792,655
11,37,0.03125,0.0625,5037,544,3.6,0,13999,625
